(APIServer pid=674540) INFO 07-18 17:13:37 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.7 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 1 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:15:27 [loggers.py:271] Engine 000: Avg prompt throughput: 12000.0 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:15:37 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.6 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:15:47 [loggers.py:271] Engine 000: Avg prompt throughput: 12000.6 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:15:57 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.3 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:16:07 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.2 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:16:17 [loggers.py:271] Engine 000: Avg prompt throughput: 12000.8 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:16:27 [loggers.py:271] Engine 000: Avg prompt throughput: 5999.9 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:16:37 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.0 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 4 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:16:47 [loggers.py:271] Engine 000: Avg prompt throughput: 12001.2 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 2 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:16:57 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.1 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 1 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:17:07 [loggers.py:271] Engine 000: Avg prompt throughput: 12000.7 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 40.7%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:17:17 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
